"","nombre_promocional","longitud","latitud","enlace_web","Tipo","geometry","corpse_category"
"122","Pueblo Latino","-0.758171","37.874161","http://www.nacionrotonda.com/2014/07/pueblo-latino-alicante.html",,,"Desenterrados"
"123","Rota","-6.370001","36.630957","http://www.nacionrotonda.com/2014/07/rota-cadiz.html",,,"Desenterrados"
"124","San Francisco de Paula","-15.444366","28.058108","http://www.nacionrotonda.com/2014/07/san-francisco-de-paula-gran-canaria-las.html",,,"Desenterrados"
"125","Taliarte","-15.374124","27.991092","http://www.nacionrotonda.com/2014/07/taliarte-gran-canaria-las-palmas.html",,,"Desenterrados"
"126","Torrox","-3.94485","36.756024","http://www.nacionrotonda.com/2014/07/torrox-malaga.html",,,"Desenterrados"
"127","Albacete (sur)","-1.848743","38.978464","http://www.nacionrotonda.com/2014/08/albacete-sur-albacete.html",,,"Desenterrados"
"128","Concud","-1.157755","40.369947","http://www.nacionrotonda.com/2014/08/concud-teruel.html",,,"Desenterrados"
"129","El Cotillo","-14.006671","28.704189","http://www.nacionrotonda.com/2014/08/el-cotillo-fuerteventura-las-palmas.html",,,"Desenterrados"
"130","Fórum Barcelona","2.225811","41.41157","http://www.nacionrotonda.com/2014/08/forum-barcelona-barcelona.html",,,"Desenterrados"
"131","Oliva Nova","-0.0536","38.893502","http://www.nacionrotonda.com/2014/08/oliva-nova-valencia.html",,,"Desenterrados"
"132","Ólvega","-1.9799","41.780088","http://www.nacionrotonda.com/2014/08/olvega-soria.html",,,"Desenterrados"
"133","Parque Warner","-3.589691","40.232304","http://www.nacionrotonda.com/2014/08/parque-warner-san-martin-de-la-vega.html",,,"Desenterrados"
"134","Pla del Mar","0.058096","38.649676","http://www.nacionrotonda.com/2014/08/pla-del-mar-alicante.html",,,"Desenterrados"
"135","Requena","-1.099087","39.4955","http://www.nacionrotonda.com/2014/08/requena-valencia.html",,,"Desenterrados"
"136","Soneja","-0.427347","39.815585","http://www.nacionrotonda.com/2014/08/soneja-castellon.html",,,"Desenterrados"
"137","Toledo (noroeste)","-4.053108","39.895333","http://www.nacionrotonda.com/2014/08/toledo-noroeste-toledo.html",,,"Desenterrados"
"138","Venta de Baños II","-4.478212","41.935514","http://www.nacionrotonda.com/2014/08/venta-de-banos-ii-palencia.html",,,"Desenterrados"
"139","Villanueva de la Torre","-3.297908","40.584969","http://www.nacionrotonda.com/2014/08/villanueva-de-la-torre-guadalajara.html",,,"Desenterrados"
"140","A Barxa","-8.78571","42.136599","http://www.nacionrotonda.com/2014/09/a-barxa-pontevedra.html",,,"Desenterrados"
"141","Abolleque","-3.206158","40.571422","http://www.nacionrotonda.com/2014/09/abolleque-chiloeches-guadalajara.html",,,"Desenterrados"
"142","A Ramallosa","-8.545918","42.793908","http://www.nacionrotonda.com/2014/09/a-ramallosa-coruna.html",,,"Desenterrados"
"143","Bakio","-2.809625","43.420285","http://www.nacionrotonda.com/2014/09/bakio-bizkaia.html",,,"Desenterrados"
"144","Celanova","-7.943049","42.146953","http://www.nacionrotonda.com/2014/09/celanova-ourense.html",,,"Desenterrados"
"145","Centro Penitenciario Nanclares de Oca","-2.785144","42.801027","http://www.nacionrotonda.com/2014/09/centro-penitenciario-nanclares-de-oca.html",,,"Desenterrados"
"146","Cerceda","-3.930227","40.6989","http://www.nacionrotonda.com/2014/09/cerceda-madrid.html",,,"Desenterrados"
"147","Corte Inglés de El Ejido","-2.804471","36.772866","http://www.nacionrotonda.com/2014/09/corte-ingles-el-ejido-almeria.html",,,"Desenterrados"
"148","Donostia (sur)","-2.000528","43.293309","http://www.nacionrotonda.com/2014/09/donostia-suroeste-gipuzkoa.html",,,"Desenterrados"
"149","El Bruc","1.787102","41.572325","http://www.nacionrotonda.com/2014/09/el-bruc-barcelona.html",,,"Desenterrados"
"150","El Ejido (sur)","-2.809172","36.765915","http://www.nacionrotonda.com/2014/09/el-ejido-sur-almeria.html",,,"Desenterrados"
"151","Fines","-2.238936","37.366074","http://www.nacionrotonda.com/2014/09/fines-almeria.html",,,"Desenterrados"
"152","Guadalajara (norte)","-3.154546","40.645042","http://www.nacionrotonda.com/2014/09/guadalajara-norte-guadalajara.html",,,"Desenterrados"
"153","La Huelga","-4.48901","37.958129","http://www.nacionrotonda.com/2014/09/la-huelga-cordoba.html",,,"Desenterrados"
"154","Linares II","-3.653014","38.090089","http://www.nacionrotonda.com/2014/09/linares-ii-jaen.html",,,"Desenterrados"
"155","Los Gallardos","-1.929923","37.159929","http://www.nacionrotonda.com/2014/09/los-gallardos-almeria.html",,,"Desenterrados"
"156","Mazarrón Country Club","-1.32808","37.637052","http://www.nacionrotonda.com/2014/09/mazarron-country-club-murcia.html",,,"Desenterrados"
"157","Milagro","-1.773705","42.243192","http://www.nacionrotonda.com/2014/09/milagro-navarra.html",,,"Desenterrados"
"158","Rego da Parede","-7.650653","43.497554","http://www.nacionrotonda.com/2014/09/rego-da-parede-lugo.html",,,"Desenterrados"
"159","Residencial Somosaguas","-3.794228","40.431238","http://www.nacionrotonda.com/2014/09/residencial-somosaguas-pozuelo-de.html",,,"Desenterrados"
"160","Alcal  de Guadaira (suroeste)","-5.851748","37.320573","http://www.nacionrotonda.com/2014/10/alcala-de-guadaira-suroeste-sevilla.html",,,"Desenterrados"
"161","Aoiz","-1.370978","42.786075","http://www.nacionrotonda.com/2014/10/aoiz-navarra.html",,,"Desenterrados"
"162","Banyeres del Penedés","1.580811","41.279453","http://www.nacionrotonda.com/2014/10/banyeres-del-penedes-tarragona.html",,,"Desenterrados"
"163","Calahorra","-1.930545","42.279912","http://www.nacionrotonda.com/2014/10/calahorra-la-rioja.html",,,"Desenterrados"
"164","Campo de Golf Melilla","-2.961497","35.289473","http://www.nacionrotonda.com/2014/10/campo-de-golf-melilla.html",,,"Desenterrados"
"165","Canalbión","-14.276277","28.102298","http://www.nacionrotonda.com/2014/10/canalbion-fuerteventura-las-palmas.html",,,"Desenterrados"
"166","Cerros del Águila","-4.656539","36.526646","http://www.nacionrotonda.com/2014/10/cerros-del-aguila-malaga.html",,,"Desenterrados"
"167","Cumbre del Sol","0.170815","38.708821","http://www.nacionrotonda.com/2014/10/cumbre-del-sol-alicante.html",,,"Desenterrados"
"168","Desaladora de Torrevieja","-0.706378","37.964177","http://www.nacionrotonda.com/2014/10/desaladora-de-torrevieva-alicante.html",,,"Desenterrados"
"169","El Puerto de Santa María","-6.187123","36.611727","http://www.nacionrotonda.com/2014/10/el-puerto-de-santa-maria-cadiz.html",,,"Desenterrados"
"170","El Rocío","-6.468935","37.143593","http://www.nacionrotonda.com/2014/10/el-rocio-huelva.html",,,"Desenterrados"
"171","Golf Club Fuerteventura","-13.865499","28.385007","http://www.nacionrotonda.com/2014/10/golf-club-fuerteventura-fuerteventura.html",,,"Desenterrados"
"172","Guadalajara (oeste)","-3.184314","40.644755","http://www.nacionrotonda.com/2014/10/guadalajara-oeste-guadalajara.html",,,"Desenterrados"
"173","Guissona","1.291469","41.785998","http://www.nacionrotonda.com/2014/10/guissona-lleida.html",,,"Desenterrados"
"174","La Muela III","-1.080115","41.608806","http://www.nacionrotonda.com/2014/10/la-muela-iii-zaragoza.html",,,"Desenterrados"
"175","Las Rozas (este)","-3.862234","40.499876","http://www.nacionrotonda.com/2014/10/las-rozas-este-madrid.html",,,"Desenterrados"
"176","Librilla","-1.317202","37.912889","http://www.nacionrotonda.com/2014/10/librilla-murcia.html",,,"Desenterrados"
"177","Llança","3.15213","42.359108","http://www.nacionrotonda.com/2014/10/llanca-girona.html",,,"Desenterrados"
"178","Montgat","2.289172","41.472491","http://www.nacionrotonda.com/2014/10/montgat-barcelona.html",,,"Desenterrados"
"179","PLAZA Zaragoza","-1.001517","41.645149","http://www.nacionrotonda.com/2014/10/plaza-zaragoza-zaragoza.html",,,"Desenterrados"
"180","Puerto de Ceuta","-5.327243","35.894528","http://www.nacionrotonda.com/2014/10/puerto-de-ceuta-ceuta.html",,,"Desenterrados"
"181","Santa Susanna","2.710312","41.639985","http://www.nacionrotonda.com/2014/10/santa-susanna-barcelona.html",,,"Desenterrados"
"182","Vilalonga","-8.823663","42.443415","http://www.nacionrotonda.com/2014/10/vilalonga-pontevedra.html",,,"Desenterrados"
"183","Zamarramala","-4.131503","40.963828","http://www.nacionrotonda.com/2014/10/zamarramala-segovia.html",,,"Desenterrados"
